Reference,Quantity,Value,Description,Package / Footprint,LCSC Part #,Buy Link
SW1-SW20,20,Gateron Pro Milky Yellow,"Linear 5-pin hotswap switch, translucent milky housing",MX (SW_Hotswap_Kailh_MX_1.00u),,https://inputgear.de/products/gateron-pro-milky-yellow-switch?variant=56226523775320
(hotswap),20,Kailh MX Hotswap Socket,"MX hotswap socket, THT",THT,,https://www.amazon.de/gp/product/B07K8CCMQZ/
(keycaps),20+,Keycaps 1u,Opaque keycaps (light shows around switch base),MX,,https://www.amazon.de/gp/product/B0F1YQGJ35/
D1-D20,20,1N4148W,"Small-signal switching diode, 100V 150mA",SOD-123,C81598,https://www.reichelt.de/de/de/shop/produkt/kleinsignal-schalt-diode_100_v_150_ma_sod-123-219382
D21-D40,20,SK6812MINI-E,"Addressable RGB LED with integrated driver, reverse mount",LED_SK6812MINI-E_3.2x2.8mm_P1.5,,https://www.amazon.de/gp/product/B0DQ8HXSQS/
U2,1,74AHCT1G125,"Single tri-state buffer / level shifter, 3.3V->5V",SOT-353-5,C7484,https://www.reichelt.de/de/de/shop/produkt/tristate-buffer_enable_2_5_5_v_sot-353-5-219156
R1,1,330,"Signal series resistor, LED data line, 0603",R_0603_1608Metric,C23138,https://www.reichelt.de/de/de/shop/produkt/smd-widerstand_0603_330_ohm_100_mw_1_-89424
C1-C21,21,100nF,"Decoupling capacitor, X7R 50V, 0603",C_0603_1608Metric,C14663,https://www.reichelt.de/de/de/shop/produkt/mlcc_0603_100nf_50v_x7r_-5_-429035
C22 (opt.),1,220uF,"Bulk capacitor (optional), SMD electrolytic",CP_Elec_6.3x5.4,,
U1,1,Waveshare RP2040-Zero,"MCU module, USB-C, castellated (no-header variant)",RP2040-Zero SMD,,https://eckstein-shop.de/WaveShare-RP2040-Zero-MCU-Board-Mini-Version
U3,1,STX882,433MHz ASK/OOK transmitter module (+ spring antenna),STX882 (custom footprint),,https://www.amazon.de/dp/B0D3TGHD7H/
J1,1,Conn_01x04,"I2C display header, Dupont, 2.54mm",PinHeader_1x04_P2.54mm_Vertical,,
